route_id,source_file,symbol,method,path_template,auth_mode,decorators,auth_evidence_ref,verification_status,owner_signoff,verification_notes,source_decorator_snapshot,suggested_owner,review_wave,test_evidence_ref,rollback_note,signoff_batch
ROUTE-0001,endpoints/api/organization.py,ApplicationInformation,GET,/api/v1/app/<client_id>,session-or-oauth2,,endpoints/api/organization.py:648,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,nickname,api-service,A2,PT-ROUTE-0001,flip `ROUTE_OWNER_API_V1_GET_API_V1_APP_CLIENT_ID` -> `python`,BATCH-A2-ROUTES
ROUTE-0002,endpoints/api/user.py,DetachExternal,POST,/api/v1/detachexternal/<service_id>,session-or-oauth2,show_if,endpoints/api/user.py:1043,verified-source-anchored,,Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,internal_only; nickname; require_user_admin; resource; show_if,api-service,A2,PT-ROUTE-0002,flip `ROUTE_OWNER_API_V1_POST_API_V1_DETACHEXTERNAL_SERVICE_ID` -> `python`,BATCH-A2-ROUTES
ROUTE-0003,endpoints/api/discovery.py,DiscoveryResource,GET,/api/v1/discovery,session-or-oauth2,,endpoints/api/discovery.py:366,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,parse_args; query_param; nickname; anon_allowed,api-service,A2,PT-ROUTE-0003,flip `ROUTE_OWNER_API_V1_GET_API_V1_DISCOVERY` -> `python`,BATCH-A2-ROUTES
ROUTE-0004,endpoints/api/search.py,EntitySearch,GET,/api/v1/entities/<prefix>,session-or-oauth2,,endpoints/api/search.py:91,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,path_param; parse_args; query_param; query_param; query_param; nickname,api-service,A2,PT-ROUTE-0004,flip `ROUTE_OWNER_API_V1_GET_API_V1_ENTITIES_PREFIX` -> `python`,BATCH-A2-ROUTES
ROUTE-0005,endpoints/api/search.py,LinkExternalEntity,POST,/api/v1/entities/link/<username>,session-or-oauth2,,endpoints/api/search.py:54,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,nickname,api-service,A2,PT-ROUTE-0005,flip `ROUTE_OWNER_API_V1_POST_API_V1_ENTITIES_LINK_USERNAME` -> `python`,BATCH-A2-ROUTES
ROUTE-0006,endpoints/api/error.py,Error,GET,/api/v1/error/<error_type>,session-or-oauth2,,endpoints/api/error.py:64,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,define_json_response; nickname,api-service,A2,PT-ROUTE-0006,flip `ROUTE_OWNER_API_V1_GET_API_V1_ERROR_ERROR_TYPE` -> `python`,BATCH-A2-ROUTES
ROUTE-0007,endpoints/api/user.py,ExternalLoginInformation,POST,/api/v1/externallogin/<service_id>,session-or-oauth2,,endpoints/api/user.py:1004,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,nickname; anon_allowed; readonly_call_allowed; restricted_user_readonly_call_allowed; validate_json_request,api-service,A2,PT-ROUTE-0007,flip `ROUTE_OWNER_API_V1_POST_API_V1_EXTERNALLOGIN_SERVICE_ID` -> `python`,BATCH-A2-ROUTES
ROUTE-0008,endpoints/api/build.py,FileDropResource,POST,/api/v1/filedrop/,session-or-oauth2,,endpoints/api/build.py:559,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,nickname; validate_json_request,api-service,A2,PT-ROUTE-0008,flip `ROUTE_OWNER_API_V1_POST_API_V1_FILEDROP` -> `python`,BATCH-A2-ROUTES
ROUTE-0009,endpoints/api/search.py,ConductSearch,GET,/api/v1/find/all,session-or-oauth2,,endpoints/api/search.py:356,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Auto-verified by route_auth_auto_verify.py (session-oauth-decorator-match).,parse_args; query_param; require_scope; nickname,api-service,A2,PT-ROUTE-0009,flip `ROUTE_OWNER_API_V1_GET_API_V1_FIND_ALL` -> `python`,BATCH-A2-ROUTES
ROUTE-0010,endpoints/api/search.py,ConductRepositorySearch,GET,/api/v1/find/repositories,session-or-oauth2,,endpoints/api/search.py:410,verified-source-anchored,,Resource method located via AST; auth decorators extracted for reviewer validation. Manual review: API resource path relies on ApiResource.method_decorators (check_anon_protection/check_readonly) plus method-level/internal permission checks.,parse_args; query_param; query_param; query_param; nickname,api-service,A2,PT-ROUTE-0010,flip `ROUTE_OWNER_API_V1_GET_API_V1_FIND_REPOSITORIES` -> `python`,BATCH-A2-ROUTES
