process_id,program,process_kind,python_source,idempotency_rule,retry_policy,idempotency_evidence_ref,retry_evidence_ref,owner_switch_id,verification_status,owner_signoff,verification_notes,suggested_owner,review_wave,test_evidence_ref,rollback_note,signoff_batch
PROC-009,buildlogsarchiver,background-worker,workers/buildlogsarchiver/buildlogsarchiver.py,explicitly idempotent in code comments (double-archive guarded by update check),scheduler retry on next interval,workers/buildlogsarchiver/buildlogsarchiver.py:21,workers/buildlogsarchiver/buildlogsarchiver.py:24; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_BUILDLOGSARCHIVER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-BUILDLOGSARCHIVER; WRT-BUILDLOGSARCHIVER; WMT-BUILDLOGSARCHIVER,Set GO_WORKER_ENABLE_BUILDLOGSARCHIVER=false; set QUAY_OVERRIDE_SERVICES=buildlogsarchiver=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-010,expiredappspecifictokenworker,background-worker,workers/expiredappspecifictokenworker.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/expiredappspecifictokenworker.py:18,workers/expiredappspecifictokenworker.py:26; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_EXPIREDAPPSPECIFICTOKENWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-EXPIREDAPPSPECIFICTOKENWORKER; WRT-EXPIREDAPPSPECIFICTOKENWORKER; WMT-EXPIREDAPPSPECIFICTOKENWORKER,Set GO_WORKER_ENABLE_EXPIREDAPPSPECIFICTOKENWORKER=false; set QUAY_OVERRIDE_SERVICES=expiredappspecifictokenworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-011,globalpromstats,background-worker,workers/globalpromstats/globalpromstats.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/globalpromstats/globalpromstats.py:41,workers/globalpromstats/globalpromstats.py:48; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_GLOBALPROMSTATS,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-GLOBALPROMSTATS; WRT-GLOBALPROMSTATS; WMT-GLOBALPROMSTATS,Set GO_WORKER_ENABLE_GLOBALPROMSTATS=false; set QUAY_OVERRIDE_SERVICES=globalpromstats=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-012,manifestbackfillworker,background-worker,workers/manifestbackfillworker.py,CAS-style updates when fields still null,scheduler retry on next interval,workers/manifestbackfillworker.py:21,workers/manifestbackfillworker.py:29; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_MANIFESTBACKFILLWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-MANIFESTBACKFILLWORKER; WRT-MANIFESTBACKFILLWORKER; WMT-MANIFESTBACKFILLWORKER,Set GO_WORKER_ENABLE_MANIFESTBACKFILLWORKER=false; set QUAY_OVERRIDE_SERVICES=manifestbackfillworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-013,manifestsubjectbackfillworker,background-worker,workers/manifestsubjectbackfillworker.py,CAS-style updates when fields still null,scheduler retry on next interval,workers/manifestsubjectbackfillworker.py:22,workers/manifestsubjectbackfillworker.py:29; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_MANIFESTSUBJECTBACKFILLWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-MANIFESTSUBJECTBACKFILLWORKER; WRT-MANIFESTSUBJECTBACKFILLWORKER; WMT-MANIFESTSUBJECTBACKFILLWORKER,Set GO_WORKER_ENABLE_MANIFESTSUBJECTBACKFILLWORKER=false; set QUAY_OVERRIDE_SERVICES=manifestsubjectbackfillworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-014,pullstatsredisflushworker,background-worker,workers/pullstatsredisflushworker.py,atomic RENAME claim + write then delete pattern for redis keys,scheduled; redis keys retained on DB flush failure for next run,workers/pullstatsredisflushworker.py:43,workers/pullstatsredisflushworker.py:58; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_PULLSTATSREDISFLUSHWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-PULLSTATSREDISFLUSHWORKER; WRT-PULLSTATSREDISFLUSHWORKER; WMT-PULLSTATSREDISFLUSHWORKER,Set GO_WORKER_ENABLE_PULLSTATSREDISFLUSHWORKER=false; set QUAY_OVERRIDE_SERVICES=pullstatsredisflushworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-015,queuecleanupworker,background-worker,workers/queuecleanupworker.py,time/threshold-based delete; repeat-safe,scheduler retry on next interval,workers/queuecleanupworker.py:20,workers/queuecleanupworker.py:23; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_QUEUECLEANUPWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-QUEUECLEANUPWORKER; WRT-QUEUECLEANUPWORKER; WMT-QUEUECLEANUPWORKER,Set GO_WORKER_ENABLE_QUEUECLEANUPWORKER=false; set QUAY_OVERRIDE_SERVICES=queuecleanupworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-016,quotaregistrysizeworker,background-worker,workers/quotaregistrysizeworker.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/quotaregistrysizeworker.py:16,workers/quotaregistrysizeworker.py:19; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_QUOTAREGISTRYSIZEWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,quota-platform,P1,WBT-QUOTAREGISTRYSIZEWORKER; WRT-QUOTAREGISTRYSIZEWORKER; WMT-QUOTAREGISTRYSIZEWORKER,Set GO_WORKER_ENABLE_QUOTAREGISTRYSIZEWORKER=false; set QUAY_OVERRIDE_SERVICES=quotaregistrysizeworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-017,quotatotalworker,background-worker,workers/quotatotalworker.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/quotatotalworker.py:22,workers/quotatotalworker.py:25; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_QUOTATOTALWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,quota-platform,P1,WBT-QUOTATOTALWORKER; WRT-QUOTATOTALWORKER; WMT-QUOTATOTALWORKER,Set GO_WORKER_ENABLE_QUOTATOTALWORKER=false; set QUAY_OVERRIDE_SERVICES=quotatotalworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-018,repositoryactioncounter,background-worker,workers/repositoryactioncounter.py,preempt checks and atomic store/update paths,scheduler retry on next interval,workers/repositoryactioncounter.py:19,workers/repositoryactioncounter.py:22; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_REPOSITORYACTIONCOUNTER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-REPOSITORYACTIONCOUNTER; WRT-REPOSITORYACTIONCOUNTER; WMT-REPOSITORYACTIONCOUNTER,Set GO_WORKER_ENABLE_REPOSITORYACTIONCOUNTER=false; set QUAY_OVERRIDE_SERVICES=repositoryactioncounter=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
