process_id,program,process_kind,python_source,idempotency_rule,retry_policy,idempotency_evidence_ref,retry_evidence_ref,owner_switch_id,verification_status,owner_signoff,verification_notes,suggested_owner,review_wave,test_evidence_ref,rollback_note,signoff_batch
PROC-001,dnsmasq,service-support,,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,conf/supervisord.conf.jnj:240,conf/supervisord.conf.jnj:240,WORKER_OWNER_DNSMASQ,verified-source-anchored,,Service-support process managed by supervisor program block; retry behavior owned by process manager/runtime policy.,runtime-platform,P0,WBT-DNSMASQ; WRT-DNSMASQ; WMT-DNSMASQ,Set GO_WORKER_ENABLE_DNSMASQ=false; set QUAY_OVERRIDE_SERVICES=dnsmasq=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP0-WORKERS
PROC-002,gunicorn-registry,service-support,,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,conf/supervisord.conf.jnj:246,conf/supervisord.conf.jnj:246,WORKER_OWNER_GUNICORN_REGISTRY,verified-source-anchored,,Service-support process managed by supervisor program block; retry behavior owned by process manager/runtime policy.,runtime-platform,P0,WBT-GUNICORN_REGISTRY; WRT-GUNICORN_REGISTRY; WMT-GUNICORN_REGISTRY,Set GO_WORKER_ENABLE_GUNICORN_REGISTRY=false; set QUAY_OVERRIDE_SERVICES=gunicorn-registry=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP0-WORKERS
PROC-003,gunicorn-secscan,service-support,,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,conf/supervisord.conf.jnj:255,conf/supervisord.conf.jnj:255,WORKER_OWNER_GUNICORN_SECSCAN,verified-source-anchored,,Service-support process managed by supervisor program block; retry behavior owned by process manager/runtime policy.,runtime-platform,P0,WBT-GUNICORN_SECSCAN; WRT-GUNICORN_SECSCAN; WMT-GUNICORN_SECSCAN,Set GO_WORKER_ENABLE_GUNICORN_SECSCAN=false; set QUAY_OVERRIDE_SERVICES=gunicorn-secscan=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP0-WORKERS
PROC-004,gunicorn-web,service-support,,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,conf/supervisord.conf.jnj:267,conf/supervisord.conf.jnj:267,WORKER_OWNER_GUNICORN_WEB,verified-source-anchored,,Service-support process managed by supervisor program block; retry behavior owned by process manager/runtime policy.,runtime-platform,P0,WBT-GUNICORN_WEB; WRT-GUNICORN_WEB; WMT-GUNICORN_WEB,Set GO_WORKER_ENABLE_GUNICORN_WEB=false; set QUAY_OVERRIDE_SERVICES=gunicorn-web=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP0-WORKERS
PROC-005,memcache,service-support,,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,conf/supervisord.conf.jnj:279,conf/supervisord.conf.jnj:279,WORKER_OWNER_MEMCACHE,verified-source-anchored,,Service-support process managed by supervisor program block; retry behavior owned by process manager/runtime policy.,runtime-platform,P0,WBT-MEMCACHE; WRT-MEMCACHE; WMT-MEMCACHE,Set GO_WORKER_ENABLE_MEMCACHE=false; set QUAY_OVERRIDE_SERVICES=memcache=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP0-WORKERS
PROC-006,nginx,service-support,,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,conf/supervisord.conf.jnj:285,conf/supervisord.conf.jnj:285,WORKER_OWNER_NGINX,verified-source-anchored,,Service-support process managed by supervisor program block; retry behavior owned by process manager/runtime policy.,runtime-platform,P0,WBT-NGINX; WRT-NGINX; WMT-NGINX,Set GO_WORKER_ENABLE_NGINX=false; set QUAY_OVERRIDE_SERVICES=nginx=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP0-WORKERS
PROC-007,pushgateway,service-support,,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,conf/supervisord.conf.jnj:293,conf/supervisord.conf.jnj:293,WORKER_OWNER_PUSHGATEWAY,verified-source-anchored,,Service-support process managed by supervisor program block; retry behavior owned by process manager/runtime policy.,runtime-platform,P0,WBT-PUSHGATEWAY; WRT-PUSHGATEWAY; WMT-PUSHGATEWAY,Set GO_WORKER_ENABLE_PUSHGATEWAY=false; set QUAY_OVERRIDE_SERVICES=pushgateway=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP0-WORKERS
PROC-008,ip-resolver-update-worker,unknown,,unknown,unknown,,,WORKER_OWNER_IP_RESOLVER_UPDATE_WORKER,retired-approved,user 2026-02-08,D-001 approved: stale service-map entry retired. No implementation/program block exists; process removed from migration execution scope unless reintroduced by new decision.,worker-platform,P0,N/A (retired-approved by D-001),"If reinstated, create new process row and default owner to python pending parity tests.",BATCH-RETIRED-WORKERS
PROC-009,buildlogsarchiver,background-worker,workers/buildlogsarchiver/buildlogsarchiver.py,explicitly idempotent in code comments (double-archive guarded by update check),scheduler retry on next interval,workers/buildlogsarchiver/buildlogsarchiver.py:21,workers/buildlogsarchiver/buildlogsarchiver.py:24; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_BUILDLOGSARCHIVER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-BUILDLOGSARCHIVER; WRT-BUILDLOGSARCHIVER; WMT-BUILDLOGSARCHIVER,Set GO_WORKER_ENABLE_BUILDLOGSARCHIVER=false; set QUAY_OVERRIDE_SERVICES=buildlogsarchiver=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
PROC-010,expiredappspecifictokenworker,background-worker,workers/expiredappspecifictokenworker.py,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,workers/expiredappspecifictokenworker.py:18,workers/expiredappspecifictokenworker.py:26; workers/worker.py:124; workers/worker.py:144,WORKER_OWNER_EXPIREDAPPSPECIFICTOKENWORKER,verified-source-anchored,,Worker scheduler operation registration and loop semantics anchor periodic retry behavior.,worker-platform,P1,WBT-EXPIREDAPPSPECIFICTOKENWORKER; WRT-EXPIREDAPPSPECIFICTOKENWORKER; WMT-EXPIREDAPPSPECIFICTOKENWORKER,Set GO_WORKER_ENABLE_EXPIREDAPPSPECIFICTOKENWORKER=false; set QUAY_OVERRIDE_SERVICES=expiredappspecifictokenworker=true; restart process group; verify queue lag/error metrics return to baseline,BATCH-WP1-WORKERS
