process_id,program,process_kind,python_module,python_source,default_autostart,trigger_type,input_contract,idempotency_rule,retry_policy,side_effects,feature_or_startup_guards,python_disable_control,go_enable_control,rollout_phase,rollback_steps,migration_status,notes
PROC-001,dnsmasq,service-support,,,true,service-loop,runtime service configuration,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,local DNS resolver sidecar behavior,supervisor autostart/runtime service config,QUAY_OVERRIDE_SERVICES=dnsmasq=false,GO_WORKER_ENABLE_DNSMASQ=true,P0,Set GO_WORKER_ENABLE_DNSMASQ=false; set QUAY_OVERRIDE_SERVICES=dnsmasq=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-002,gunicorn-registry,service-support,,,true,service-loop,runtime service configuration,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,serves Python registry app traffic,supervisor autostart/runtime service config,QUAY_OVERRIDE_SERVICES=gunicorn-registry=false,GO_WORKER_ENABLE_GUNICORN_REGISTRY=true,P0,Set GO_WORKER_ENABLE_GUNICORN_REGISTRY=false; set QUAY_OVERRIDE_SERVICES=gunicorn-registry=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-003,gunicorn-secscan,service-support,,,true,service-loop,runtime service configuration,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,serves Python secscan app traffic,supervisor autostart/runtime service config,QUAY_OVERRIDE_SERVICES=gunicorn-secscan=false,GO_WORKER_ENABLE_GUNICORN_SECSCAN=true,P0,Set GO_WORKER_ENABLE_GUNICORN_SECSCAN=false; set QUAY_OVERRIDE_SERVICES=gunicorn-secscan=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-004,gunicorn-web,service-support,,,true,service-loop,runtime service configuration,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,serves Python web/api app traffic,supervisor autostart/runtime service config,QUAY_OVERRIDE_SERVICES=gunicorn-web=false,GO_WORKER_ENABLE_GUNICORN_WEB=true,P0,Set GO_WORKER_ENABLE_GUNICORN_WEB=false; set QUAY_OVERRIDE_SERVICES=gunicorn-web=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-005,memcache,service-support,,,true,service-loop,runtime service configuration,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,caching service runtime state,supervisor autostart/runtime service config,QUAY_OVERRIDE_SERVICES=memcache=false,GO_WORKER_ENABLE_MEMCACHE=true,P0,Set GO_WORKER_ENABLE_MEMCACHE=false; set QUAY_OVERRIDE_SERVICES=memcache=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-006,nginx,service-support,,,true,service-loop,runtime service configuration,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,edge proxy/ingress routing behavior,supervisor autostart/runtime service config,QUAY_OVERRIDE_SERVICES=nginx=false,GO_WORKER_ENABLE_NGINX=true,P0,Set GO_WORKER_ENABLE_NGINX=false; set QUAY_OVERRIDE_SERVICES=nginx=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-007,pushgateway,service-support,,,true,service-loop,runtime service configuration,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,prometheus pushgateway metrics endpoint,supervisor autostart/runtime service config,QUAY_OVERRIDE_SERVICES=pushgateway=false,GO_WORKER_ENABLE_PUSHGATEWAY=true,P0,Set GO_WORKER_ENABLE_PUSHGATEWAY=false; set QUAY_OVERRIDE_SERVICES=pushgateway=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-008,ip-resolver-update-worker,unknown,,,conf/init only,unknown,unknown,unknown,unknown,potentially missing program definition,defined in conf/init/supervisord_conf_create.py only,QUAY_OVERRIDE_SERVICES=ip-resolver-update-worker=false,GO_WORKER_ENABLE_IP_RESOLVER_UPDATE_WORKER=true,P0,"If reintroduced, add explicit supervisor program + implementation and default owner=python until parity complete",retired-approved,D-001 approved 2026-02-08: remove stale service-map entry for ip-resolver-update-worker; treat as retired capability unless reintroduced by new approved design
PROC-009,buildlogsarchiver,background-worker,workers.buildlogsarchiver.buildlogsarchiver,workers/buildlogsarchiver/buildlogsarchiver.py,true,scheduled/polling,db/config/feature-state scan,explicitly idempotent in code comments (double-archive guarded by update check),scheduler retry on next interval,"writes compressed build logs to archive, expires redis logs",always on (except ACCOUNT_RECOVERY_MODE),QUAY_OVERRIDE_SERVICES=buildlogsarchiver=false,GO_WORKER_ENABLE_BUILDLOGSARCHIVER=true,P1,Set GO_WORKER_ENABLE_BUILDLOGSARCHIVER=false; set QUAY_OVERRIDE_SERVICES=buildlogsarchiver=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-010,expiredappspecifictokenworker,background-worker,workers.expiredappspecifictokenworker,workers/expiredappspecifictokenworker.py,true,scheduled/polling,db/config/feature-state scan,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,deletes expired app-specific tokens,APP_SPECIFIC_TOKENS and EXPIRED_APP_SPECIFIC_TOKEN_GC,QUAY_OVERRIDE_SERVICES=expiredappspecifictokenworker=false,GO_WORKER_ENABLE_EXPIREDAPPSPECIFICTOKENWORKER=true,P1,Set GO_WORKER_ENABLE_EXPIREDAPPSPECIFICTOKENWORKER=false; set QUAY_OVERRIDE_SERVICES=expiredappspecifictokenworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-011,globalpromstats,background-worker,workers.globalpromstats.globalpromstats,workers/globalpromstats/globalpromstats.py,true,scheduled/polling,db/config/feature-state scan,best-effort idempotency via periodic re-evaluation,scheduler retry on next interval,updates Prometheus gauges,PROMETHEUS_PUSHGATEWAY_URL configured,QUAY_OVERRIDE_SERVICES=globalpromstats=false,GO_WORKER_ENABLE_GLOBALPROMSTATS=true,P1,Set GO_WORKER_ENABLE_GLOBALPROMSTATS=false; set QUAY_OVERRIDE_SERVICES=globalpromstats=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-012,manifestbackfillworker,background-worker,workers.manifestbackfillworker,workers/manifestbackfillworker.py,true,scheduled/polling,db/config/feature-state scan,CAS-style updates when fields still null,scheduler retry on next interval,backfills manifest compressed size and config media type,MANIFEST_SIZE_BACKFILL,QUAY_OVERRIDE_SERVICES=manifestbackfillworker=false,GO_WORKER_ENABLE_MANIFESTBACKFILLWORKER=true,P1,Set GO_WORKER_ENABLE_MANIFESTBACKFILLWORKER=false; set QUAY_OVERRIDE_SERVICES=manifestbackfillworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
PROC-013,manifestsubjectbackfillworker,background-worker,workers.manifestsubjectbackfillworker,workers/manifestsubjectbackfillworker.py,true,scheduled/polling,db/config/feature-state scan,CAS-style updates when fields still null,scheduler retry on next interval,backfills manifest subject/artifact_type fields,MANIFEST_SUBJECT_BACKFILL,QUAY_OVERRIDE_SERVICES=manifestsubjectbackfillworker=false,GO_WORKER_ENABLE_MANIFESTSUBJECTBACKFILLWORKER=true,P1,Set GO_WORKER_ENABLE_MANIFESTSUBJECTBACKFILLWORKER=false; set QUAY_OVERRIDE_SERVICES=manifestsubjectbackfillworker=true; restart process group; verify queue lag/error metrics return to baseline,planned,generated baseline; validate during implementation
